#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Leptospira wolffii	 KIT Khorat-H2, Khorat-H2, WHO LT1686	yes	yes
Polymorphospora rubra	 DSM 44947, DSM:44947, JCM 14904, JCM:14904, NBRC 101157, NBRC:101157, TT 97-42	yes	no
Uruburuella testudinis	 07_OD624, CCUG 63373, CCUG:63373, DSM 26510, DSM:26510	yes	no
Bordetella muralis	 JCM 30931, JCM:30931, NCIMB 15006, NCIMB:15006, T6220-3-2b	yes	no
Leifsonia poae	 CCUG 47140, CCUG:47140, CIP 106654, CIP:106654, DSM 15202, DSM:15202, JCM 11952, JCM:11952, NBRC 103069, NBRC:103069, VKM Ac-1401, VKM:Ac:1401	yes	no
Noviherbaspirillum psychrotolerans	 BCCM/LMG:27282, DSM 26001, DSM:26001, LMG 27282, LMG:27282, PB1	yes	no
Sporolactobacillus nakayamae	 ATCC 700379, ATCC:700379, BCCM/LMG:18787, CCUG 41660, CCUG:41660, CIP 105319, CIP:105319, DSM 11696, DSM:11696, JCM 3514, JCM:3514, LMG 18787, LMG:18787, M-114, NBRC 101526, NBRC:101526	yes	yes
Streptomyces malaysiensis	 ATB-11, ATCC BAA-13, ATCC:BAA:13, DSM 41697, DSM:41697, IFO 16446, IFO:16446, JCM 10672, JCM:10672, NBRC 16446, NBRC:16446	yes	no
Dermabacter hominis	 ATCC 49369, ATCC:49369, CCUG 32998, CCUG:32998, CIP 105144, CIP:105144, DSM 7083, DSM:7083, DSMZ 7083, JCM 7448, JCM:7448, NBRC 106157, NBRC:106157, NCFB 2769, NCFB:2769, NCIMB 13131, NCIMB:13131, S69, Strain S69	yes	yes
Streptacidiphilus durhamensis	 DSM 45796, DSM:45796, FSCA67, KACC 17154, KACC:17154, NCIMB 14828, NCIMB:14828	yes	no
Streptomyces echinatus	 AS 4.1642, AS:4.1642, ATCC 19748, ATCC 21133, ATCC:19748, ATCC:21133, BCCM/LMG:5972, BCRC 13656, BCRC:13656, CBS 409.59, CBS 487.68, CBS:409.59, CBS:487.68, CCRC 13656, CCRC:13656, CECT 3313, CECT:3313, DSM 40013, DSM 41251, DSM:40013, DSMZ 40013, HUT 6090, HUT:6090, IFM 1076, IFM:1076, IFO 12763, IFO:12763, IMET 40461, IMET:40461, ISP 5013, ISP:5013, JCM 4144, JCM 4574, JCM:4144, JCM:4574, KCTC 9724, KCTC:9724, LMG 5972, LMG:5972, NBRC 12763, NBRC:12763, NCIMB 9598, NCIMB 9799, NCIMB:9598, NCIMB:9799, NRRL 2587, NRRL ISP-5013, NRRL-ISP 5013, NRRL-ISP:5013, NRRL:2587, RIA 1029, RIA:1029, UNIQEM 135, UNIQEM:135, VKM Ac-762, VKM:Ac:762	yes	no
Psychroserpens mesophilus	 JCM 13413, JCM:13413, KCCM 42261, KCCM:42261, KOPRI 13649	yes	yes
Thermoplasma volcanium	 ATCC 51530, ATCC:51530, DSM 4299, DSM:4299, GSS1, GSS1*, IFO 15438, IFO:15438, JCM 9571, JCM:9571, NBRC 15438, NBRC:15438	yes	yes
Vibrio scophthalmi	 A089, BCCM/LMG:19158, CAIM 75, CAIM:75, CECT 4638, CECT:4638, CIP 105211, CIP:105211, DSM 19140, LMG 19158, LMG:19158	yes	yes
Blastococcus capsensis	 BMG 804, CECT 8876, CECT:8876, DSM 46835, DSM:46835	yes	no
Desulfobacter hydrogenophilus	 ATCC 43915, ATCC:43915, AcRS 1, AcRS1, DSM 3380, DSM:3380	yes	yes
Exiguobacterium marinum	 DSM 16307, DSM:16307, KCTC 19036, KCTC:19036, TF-80	yes	yes
Legionella lansingensis	 1677-MI-H, ATCC 49751, ATCC:49751, CIP 103542, CIP:103542, DSM 19556, DSM:19556, NCTC 12830, NCTC:12830	yes	yes
Morganella morganii subsp. sibonii	 8103-85, AB 2048, AB:2048, ATCC 49948, ATCC:49948, CCUG 30886, CCUG:30886, CIP 103648, CIP:103648, DSM 14850, DSM:14850, JCM 16939, JCM:16939	yes	no
Legionella shakespearei	 214, ATCC 49655, ATCC:49655, CCUG 31228 A, CCUG:31228 A, CIP 103541, CIP:103541, DSM 23087, DSM:23087, NCTC 12829, NCTC:12829	yes	yes
Moraxella oblonga	 ATCC 29468, ATCC:29468, DSM 17235, IAM 14971, IAM:14971, ICPB 3652, ICPB:3652, JCM 21442, JCM:21442, NBRC 102422, NBRC:102422	yes	yes
Xanthomonas perforans	 ATCC BAA-983, ATCC:BAA:983, DSM 18975, DSM:18975, ICMP 16690, ICMP:16690, NCPPB 4321, NCPPB:4321, XV938	yes	no
Dysgonomonas mossii	 CCUG 43457, CCUG:43457, CDC F9489, CIP 107079, CIP:107079, DSM 22836, DSM:22836, JCM 16699, JCM:16699	yes	yes
Lysobacter tongrenensis	 CCTCC:AB 2016052, KCTC:52206, YS-37	yes	no
Timaviella circinata	 GR4, ULC401, ULC:401	yes	no
Chitinilyticum aquatile	 BCCM/LMG:23346, BCRC 17533, BCRC:17533, DSM 21506, DSM:21506, LMG 23346, LMG:23346, c14	yes	yes
Desulfosarcina widdelii	 DSM 103921, DSM:103921, JCM 31729, JCM:31729, PP31	yes	no
Planobispora rosea	 ATCC 23866, ATCC:23866, DSM 43051, DSM:43051, IFO 15558, IFO:15558, JCM 3166, JCM:3166, NBRC 15558, NBRC:15558, NRRL B-8121, NRRL:B:8121, VKM Ac-1318, VKM:Ac:1318	yes	no
Acinetobacter dispersus	 ANC 4105, CCM 8636, CCM:8636, CCUG 67961, CCUG:67961, CIP 110500, CIP:110500	yes	no
Micromonospora fulviviridis	 ATCC 35574, ATCC:35574, DSM 43906, DSM:43906, JCM 3259, JCM:3259, NRRL B-16104, NRRL:B:16104	yes	no
Chromobacterium subtsugae	 DSM 17043, DSM:17043, NRRL B-30655, NRRL:B:30655, PRAA4-1	yes	yes
Polaromonas jejuensis	 DSM 19351, DSM:19351, JS12-13, KACC 12508, KACC:12508, NBRC 106434, NBRC:106434	yes	yes
Pyrococcus abyssi	 CNCM I-1302, CNCM:I:1302, GE5, Orsay	yes	yes
Chromobacterium alkanivorans	 IITR-71, JCM 30068, JCM:30068, KCTC 52433, KCTC:52433, MTCC 11059, MTCC:11059	yes	no
Endozoicomonas acroporae	 Acr-14, BCCM/LMG:29482, BCRC 80922, BCRC:80922, KCTC 42901, KCTC:42901, LMG 29482, LMG:29482	yes	yes
Fuerstia marisgermanicae	 BCCM/LMG:27831, DSM 27554, DSM:27554, LMG 27831, LMG:27831, NH11	yes	yes
Luteimonas mephitis	 ATCC BAA-11, ATCC:BAA:11, B1953/27.1, CCUG 48040, CCUG:48040, CIP 107229, CIP:107229, DSM 12574, DSM:12574	yes	yes
Pararhizobium giardinii	 H152, HAMBI 2323, KACC 10720, LMG 29586, MSDJ0144	yes	yes
Prevotella nanceiensis	 AIP 261.03, AIP:261.03, CCUG 54409, CCUG:54409, CIP 108993, CIP:108993, DSM 19126, DSM:19126, JCM 15639, JCM:15639, LBN 293	yes	yes
Virgibacillus olivae	 BCCM/LMG:23503, DSM 18098, DSM:18098, E 30 8, E308, LMG 23503, LMG:23503	yes	no
Telmatocola sphagniphila	 DSM 23888, DSM:23888, SP2, VKM B-2710, VKM:B:2710	yes	no
Porphyromonas uenonis	 ATCC BAA-906, ATCC:BAA:906, CCUG 48615, CCUG:48615, DSM 23387, DSM:23387, JCM 13868, JCM:13868, WAL 9902, WAL:9902	yes	yes
Raoultella electrica	 1GB, DSM 102253, KCTC 32430, KCTC:32430, NBRC 109676, NBRC:109676	yes	no
Asticcacaulis excentricus	 AC 48, ATCC 15261, ATCC:15261, CB 48, CIP 107064, CIP:107064, DSM 4724, DSM:4724, VKM B-1370, VKM:B:1370	yes	yes
Ochrobactrum tritici	 BCCM/LMG:18957, CCUG 47104, CCUG:47104, DSM 13340, DSM:13340, LMG 18957, LMG:18957, NBRC 102585, NBRC:102585, SCII24	yes	no
Paenibacillus mobilis	 JCM 31672, JCM:31672, KCTC 33848, KCTC:33848, S8	yes	no
Solimicrobium silvestre	 BCCM/LMG:30010, DSM 104733, DSM:104733, LMG 30010, LMG:30010, S20-91	yes	yes
Bhargavaea ginsengi	 CGMCC 1.6763, CGMCC:1.6763, DSM 19038, DSM:19038, ge14	yes	yes
Sphingobium soli	 CCTCC AB 2015125, CCTCC:AB:2015125, KCTC 42607, KCTC:42607, THG-SQA7	yes	no
Agarivorans litoreus	 DSM 103824, GJSW-6, KCTC 42116, KCTC:42116, NBRC 110444, NBRC:110444	yes	no
Pseudoclavibacter helvolus	 ATCC 13715, ATCC:13715, CCUG 43303, CCUG:43303, DSM 20419, DSM:20419, IAM 14726, IAM:14726, JCM 9491, JCM:9491, NBRC 15775, NBRC:15775, TISTR 1509, TISTR:1509	yes	no
Salibacterium halochares	 BCCM/LMG:24571, DSM 21373, DSM:21373, LMG 24571, LMG:24571, MSS4	yes	no
Sphingosinicella humi	 CCTCC AB 2018030, KCTC 62519, QZX222	yes	yes
Pontibacter humi	 JCM 19178, JCM:19178, KEMC 9004-131, KEMC:9004-131, SWU8	yes	no
Roseomonas rhizosphaerae	 CCTCC AB2013041, DSM 103151, KACC 17225, KACC:17225, YW11	yes	yes
Streptomyces luteireticuli	 ATCC 27446, ATCC:27446, CBS 723.72, CBS:723.72, DSM 40509, DSM:40509, ISP 5509, ISP:5509, JCM 4788, JCM:4788, NBRC 101284, NBRC 13422, NBRC:101284, NBRC:13422, NRRL B-12435, NRRL:B:12435, RIA 1383, RIA:1383	yes	no
Microbispora corallina	 ATCC BAA-20, ATCC:BAA:20, DF-32, DSM 44682, DSM:44682, IFO 16416, IFO:16416, JCM 10267, JCM:10267, NBRC 16416, NBRC:16416	yes	no
Microlunatus soli	 CC-012602, CC-12602, CCM 7685, CCM:7685, DSM 21800, DSM:21800	yes	yes
Mycobacterium phocaicum	 CCUG 50185, CIP 108542, DSM 45104, JCM 15301, N4	yes	no
Paenibacillus xylanisolvens	 DSM 25299, KCTC 13042, KCTC:13042, PCU 311, PCU:311, PCU&lt;THA&gt;:311, TISTR 1829, TISTR:1829, X11-1	yes	no
Rhodovulum iodosum	 ATCC 700895, ATCC:700895, DSM 12328, DSM:12328, N1	yes	no
Rubrivirga profundi	 KACC 18401, KACC:18401, NBRC 110607, NBRC:110607, SAORIC-476	yes	no
Mycolicibacterium cosmeticum	 ATCC BAA-878, ATCC:BAA:878, CIP 108170, CIP:108170, DSM 44829, DSM:44829, JCM 14739, JCM:14739, LTA-388	yes	yes
Acetobacterium tundrae	 DSM 9173, DSM:9173, Z-4493	yes	no
Citrobacter pasteurii	 CIP 55.13, CIP:55.13, DSM 28879, DSM:28879, Na 1a	yes	yes
Aminobacter aminovorans	 ATCC 23314, ATCC 23314 [[Chelatobacter heintzii]], ATCC 29600, ATCC 29600 [[Chelatobacter heintzii]], ATCC:23314, BCCM/LMG:2122, CCUG 2081, CCUG 2081 [[Chelatobacter heintzii]], CCUG:2081, CIP 106737, CIP 106737 [[Chelatobacter heintzii]], CIP:106737, DSM 10368, DSM 10368 [[Chelatobacter heintzii]], DSM 7048, DSM 7048 [[Chelatobacter heintzii]], DSM:7048, JCM 7852, JCM 7852 [[Chelatobacter heintzii]], JCM:7852, KCTC 2477, KCTC:2477, LMG 2122, LMG 2122 [[Chelatobacter heintzii]], LMG:2122, NCCB 26039, NCCB 26039 [[Chelatobacter heintzii]], NCCB:26039, NCIB 9039, NCIB 9039 [[Chelatobacter heintzii]], NCIB:9039, NCIMB 9039, NCIMB 9039 [[Chelatobacter heintzii]], NCIMB:9039, NCTC 10684, NCTC 10684 [[Chelatobacter heintzii]], NCTC:10684, VKM B-2058, VKM B-2058 [[Chelatobacter heintzii]], VKM:B:2058	yes	yes
Caldanaerobacter subterraneus subsp. tengcongensis	 AS 1.2430, AS:1.2430, CGMCC AS 1.2430, Chinese Collection of Microorganisms AS 1.2430, DSM 15242, DSM:15242, JCM 11007, JCM:11007, MB4, NBRC 100824, NBRC:100824	yes	yes
Celeribacter baekdonensis	 CCUG 60799, CCUG:60799, DSM 27375, DSM:27375, KCTC 23497, KCTC:23497, L-6	yes	yes
Tenacibaculum mesophilum	 CIP 107215, CIP:107215, DSM 13764, DSM:13764, IFO 16307, IFO:16307, MBIC 1140, MBIC01140, MBIC:1140, NBRC 16307, NBRC:16307	yes	yes
Streptomyces carpaticus	 AS 4.1621, AS:4.1621, ATCC 43678, ATCC:43678, DSM 41468, DSM:41468, IFO 15390, IFO:15390, INA 8851, INA:8851, JCM 6915, JCM:6915, NBRC 15390, NBRC:15390, NRRL B-16359, NRRL:B:16359, VKM Ac-1211, VKM:Ac:1211	yes	no
Thiothrix lacustris	 BL, DSM 21227, DSM:21227, VKM B-2521, VKM:B:2521	yes	yes
Roseomonas nepalensis	 G-3-5, JCM 31470, JCM:31470, KACC 18908, KACC:18908, KEMB 9005-416, KEMB:9005-416, KEMC:9005-416	yes	no
Modestobacter versicolor	 ATCC BAA-1040, ATCC:BAA:1040, CP153-2, DSM 16678, DSM:16678, JCM 15578, JCM:15578	yes	yes
Nonomuraea longicatena	 DSM 44817, IFO 16462, IFO:16462, JCM 11136, JCM:11136, K-252, NBRC 16462, NBRC:16462, NRRL 15532, NRRL:15532	yes	no
Streptosporangium oxazolinicum	 BCC 46325, BCC:46325, DSM 45550, JCM 17388, JCM:17388, K07-0460	yes	no
'Novosphingobium aquaticum' Singh et al. 2015	 CCTCC AB 2015114, CCTCC:AB:2015114, KCTC 42608, KCTC:42608, THW-SA1	yes	no
Enterovibrio pacificus	 DSM 25033, KCTC 42425, KCTC:42425, MCCC 1K00500, MCCC:1K00500, SW014	yes	no
Mycolicibacterium arcueilense	 269, CIP 110654, CIP:110654, DSM 46715, DSM:46715, ParisRGMnew_3T	yes	no
Frisingicoccus caecimuris	 DSM 28559, DSM:28559, KCTC 15538, KCTC:15538, PG-426-CC-1	yes	yes
Motilibacter peucedani	 DSM 45328, DSM:45328, KCTC 19630, KCTC:19630, RP-AC37	yes	yes
Deinococcus radiopugnans	 ATCC 19172, ATCC:19172, DSM 12027, DSM:12027, IFO 15348, IFO:15348, JCM 16872, JCM 21312, JCM:16872, JCM:21312, NBRC 15348, NBRC:15348, UWO 293, UWO:293	yes	no
Niastella vici	 CCTCC AB 2015052, CCTCC:AB:2015052, DJ57, KCTC 42474, KCTC:42474	yes	yes
Cuniculiplasma divulgatum	 JCM 30642, JCM:30642, S5, VKM B-2941, VKM:B:2941	yes	yes
Arcanobacterium haemolyticum	 ATCC 9345, ATCC:9345, BCCM/LMG:16163, CCM 5947, CCUG 17215, CCUG 33552, CCUG:17215, CCUG:33552, CIP 103370, CIP:103370, DSM 20595, DSM:20595, IFO 15585, IFO:15585, IMET 11143, LMG 16163, LMG:16163, NBRC 15585, NBRC:15585, NCTC 8452, NCTC:8452	yes	yes
Arcobacter haliotis	 JCM 31147, LMG 28652, MA5	yes	yes
Thermococcus eurythermalis	 A501, CGMCC 7834, CGMCC:7834, JCM 30233, JCM:30233	yes	yes
Streptobacillus ratti	 DSM 101843, DSM:101843, JCM 31098, JCM:31098, OGS16	yes	yes
Micrococcus yunnanensis	 CCTCC AA 208060, CCTCC:AA:208060, DSM 21948, DSM 24531, DSM:21948, JCM 16547, JCM:16547, YIM 65004, YIM:65004	yes	no
Vibrio xuii	 BCCM/LMG:21346, CAIM 467, CAIM:467, CIP 108271, CIP:108271, DSM 17185, DSM:17185, KCTC 12122, KCTC 12703, KCTC:12122, KCTC:12703, LMG 21346, LMG:21346, R-15052	yes	yes
Paenibacillus lautus	 ATCC 43898, ATCC:43898, BCCM/LMG:11157, CIP 103118, CIP:103118, DSM 3035, DSM:3035, IFO 15380, IFO:15380, JCM 9073, JCM:9073, LMG 11157, LMG:11157, NBRC 15380, NBRC:15380, NRRL NRS 666, NRRL NRS-666, NRRL:NRS:666	yes	yes
Kosakonia radicincitans	 CCUG 50898, CCUG:50898, CIP 108468, CIP:108468, D5/23, DSM 16656, DSM:16656, LMG 23767	yes	yes
Aquimarina spongiae	 A6, DSM 22623, DSM:22623, KCTC 22663, KCTC:22663	yes	yes
Pseudomonas cichorii	 ATCC 10857, ATCC:10857, BCCM/LMG:2162, CCUG 32776, CCUG:32776, CFBP 2101, CFBP:2101, CIP 106704, CIP:106704, DSM 50259, DSM:50259, DSMZ 50259, ICMP 5707, ICMP:5707, IMET 11188, LMG 2162, LMG:2162, NCCB 69031, NCCB:69031, NCPPB 943, NCPPB:943	yes	yes
Clostridium frigidicarnis	 ATCC BAA-154, ATCC:BAA:154, DSM 12271, DSM:12271, SPL77A	yes	yes
Siccationidurans soli	 BCCM/LMG:24240, KCTC 12607, KCTC:12607, LMG 24240, LMG:24240, PB17	yes	no
Yersinia enterocolitica subsp. palearctica	 CCUG 52867, CCUG:52867, CIP 106945, CIP:106945, DSM 13030, DSM:13030, Y11	yes	yes
Carnobacterium mobile	 ATCC 49516, ATCC:49516, BCCM/LMG:9842, CCUG 30096, CCUG:30096, CIP 103159, CIP:103159, DSM 4848, DSM:4848, JCM 12516, JCM:12516, LMG 9842, LMG:9842, MT37L, NCFB 2765, NCFB:2765, NCIMB 12847, NCIMB:12847, NRRL B-14831, NRRL:B:14831	yes	yes
Pseudoalteromonas atlantica	 ATCC 19262, ATCC:19262, CECT 579, CIP 104721, CIP 59.31, CIP:104721, DSM 6840, IAM 12927, IAM:12927, JCM 8845, JCM:8845, NBRC 103033, NBRC:103033, NCIMB 301, NCIMB:301	yes	no
Streptomyces gandocaensis	 12620-H2	yes	no
Pseudomonas syringae	 ATCC 19310, ATCC:19310, BCCM/LMG:1247, CCUG 14279, CCUG:14279, CFBP 1392, CFBP:1392, CIP 106698, CIP:106698, DSM 10604, DSM 6693, DSM:10604, ICMP 3023, ICMP:3023, KCTC 12500, KCTC:12500, LMG 1247, LMG:1247, NCAIM B.01398, NCPPB 281, NCPPB:281, NRRL B-1631, NRRL:B:1631, PDDCC 3023	yes	yes
Nonomuraea antimicrobica	 CCTCC AA 208016, CCTCC:AA:208016, DSM 45220, DSM:45220, JCM 16904, JCM:16904, YIM 61105, YIM:61105	yes	no
Streptococcus salivarius	 ATCC 7073, ATCC:7073, BCCM/LMG:11489, CCUG 11878, CCUG 17825, CCUG 50207, CCUG:11878, CCUG:17825, CCUG:50207, CIP 102503, CIP:102503, DSM 20560, DSM:20560, DSMZ 20560, HAMBI 1716, HAMBI:1716, JCM 5707, JCM:5707, LMG 11489, LMG:11489, NCDO 1779, NCFB 1779, NCFB:1779, NCIMB 701779, NCIMB:701779, NCTC 8618, NCTC:8618	yes	yes
Bacillus patagoniensis	 ATCC BAA-965, ATCC:BAA:965, DSM 16117, DSM:16117, PAT 05	yes	yes
Burkholderia thailandensis	 ATCC 700388, ATCC:700388, CCUG 48851, CCUG:48851, CIP 106301, CIP:106301, DSM 13276, DSM:13276, E264	yes	yes
Actinopolymorpha cephalotaxi	 06-2230, CCM 7466, CCM:7466, DSM 45117, DSM:45117, I06- 2230, I06-2230, JCM 17964, JCM:17964, KCTC 19293, KCTC:19293	yes	no
Apibacter mensalis	 BCCM/LMG:28357, DSM 100903, DSM:100903, LMG 28357, LMG:28357, R-53146	yes	yes
Cobetia crustatorum	 JCM 15644, JCM:15644, JO1, KCTC 22486, KCTC:22486	yes	yes
Cognatishimia maritima	 CCUG 60021, CCUG:60021, DSM 28223, DSM:28223, GSW-6, GSW-M6, KCTC 23347, KCTC:23347	yes	yes
Mediterranea massiliensis	 CSUR P2645, DSM 103034, DSM:103034, Marseille-P2645	yes	yes
Streptomyces venetus	 CMU-AB225, JCM 31290, JCM:31290, TBRC 2001, TBRC:2001	yes	no
Staphylococcus delphini	 ATCC 49171, ATCC:49171, CCUG 30107, CCUG:30107, CIP 103732, CIP:103732, DSM 20771, DSM:20771, Heidy, NCTC 12225, NCTC:12225, NRRL B-14767, NRRL:B:14767, Strain Heidy	yes	yes
Paenalcaligenes hermetiae	 JCM 18423, JCM:18423, KACC 16840, KACC:16840, KBL009	yes	no
Desulfonatronobacter acidivorans	 APT2, DSM 24257, DSM:24257, UNIQEM U853	yes	no
Methanoculleus bourgensis	 ATCC 35293, ATCC 35293 [[Methanoculleus oldenburgensis]], ATCC 35293 [[Methanoculleus olentangyi]], ATCC 35293 [[Methanogenium olentangyi]], ATCC 43281, ATCC 43281 [[Methanoculleus oldenburgensis]], ATCC 43281 [[Methanoculleus olentangyi]], ATCC 43281 [[Methanogenium olentangyi]], ATCC:43281, CB-1, CB-1 [[Methanoculleus oldenburgensis]], CB-1 [[Methanoculleus olentangyi]], CB-1 [[Methanogenium olentangyi]], DSM 2772, DSM 2772 [[Methanoculleus oldenburgensis]], DSM 2772 [[Methanoculleus olentangyi]], DSM 2772 [[Methanogenium olentangyi]], DSM 3045, DSM 3045 [[Methanoculleus oldenburgensis]], DSM 3045 [[Methanoculleus olentangyi]], DSM 3045 [[Methanogenium olentangyi]], DSM 6216, DSM 6216 [[Methanoculleus oldenburgensis]], DSM 6216 [[Methanoculleus olentangyi]], DSM 6216 [[Methanogenium olentangyi]], DSM:3045, MS 2, MS 2 [[Methanoculleus oldenburgensis]], MS 2 [[Methanoculleus olentangyi]], MS 2 [[Methanogenium olentangyi]], MS2, MS2 [[Methanoculleus oldenburgensis]], MS2 [[Methanoculleus olentangyi]], MS2 [[Methanogenium olentangyi]], OCM 52, OCM 52 [[Methanoculleus oldenburgensis]], OCM 52 [[Methanoculleus olentangyi]], OCM 52 [[Methanogenium olentangyi]], OGC 15, OGC 15 [[Methanoculleus oldenburgensis]], OGC 15 [[Methanoculleus olentangyi]], OGC 15 [[Methanogenium olentangyi]], OGC:15, RC/ER, RC/ER [[Methanoculleus oldenburgensis]], RC/ER [[Methanoculleus olentangyi]], RC/ER [[Methanogenium olentangyi]]	yes	yes
Maribacter aestuarii	 GY20, JCM 18631, JCM:18631, KACC 16440, KACC:16440	yes	no
Hafnia alvei	 ATCC 13337, ATCC:13337, BCCM/LMG:10392, CCUG 41547, CCUG:41547, CIP 57.31, CIP:57.31, DSM 30163, DSM:30163, DSMZ 30163, HAMBI 1279, HAMBI 1876, HAMBI:1279, HAMBI:1876, JCM 1666, JCM:1666, LMG 10392, LMG:10392, NCDC 434-68, NCTC 8105, NCTC:8105, NRRL B-4260, NRRL:B:4260	yes	yes
Marinitoga litoralis	 DSM 21709, DSM:21709, JCM 15581, JCM:15581, MC3	yes	no
Leptospira ellinghausenii	 E18	yes	yes
Algoriphagus machipongonensis	 ATCC BAA-2233, ATCC:BAA:2233, DSM 24695, DSM:24695, PR1	no	yes
Komagataeibacter oboediens	 BCC 36445, BCCM/LMG:18849, CIP 105763, CIP:105763, DSM 11826, DSM:11826, JCM 16937, JCM:16937, LMG 18849, LMG:18849, LTH 2460, LTH:2460	yes	yes
Thermopolyspora flexuosa	 ATCC 35864, ATCC:35864, BCRC 12531, BCRC:12531, CIP 107358, CIP:107358, DSM 43186, DSM 44514, DSM:43186, IMET 9552, IMET:9552, JCM 3056, JCM:3056, K1132, KCC A-0056, KCC:A:0056, KCTC 9270, KCTC:9270, NBRC 14349, NBRC:14349, NRRL B-24348, NRRL:B:24348, Strain K1132	yes	no
Thermogutta hypogea	 DSM 27306, JCM 19991, JCM:19991, SBP2, VKM B-2782, VKM:B:2782	yes	no
Paenibacillus tianmuensis	 B27, CGMCC 1.8946, CGMCC:1.8946, DSM 22342, DSM:22342	yes	yes
Bacillus fermenti	 Bf-1, JCM 31807, JCM:31807, NCIMB 15079, NCIMB:15079	yes	no
Deinococcus aquiradiocola	 CCUG 53612, CCUG:53612, JCM 14370, JCM 14371, JCM:14371, NBRC 102118, NBRC:102118, TDMA-uv53	yes	no
Chloroflexus islandicus	 DSM 29225, DSM:29225, JCM 30533, JCM:30533, VKM B-2978, VKM:B:2978, isl-2	yes	yes
Eubacterium pyruvativorans	 ATCC BAA-574, ATCC:BAA:574, I-6, NCIMB 13911, NCIMB:13911, i6	no	yes
Candidatus Phytoplasma palmicola	 LYDM 178, LYDM:178	yes	no
Vibrio mediterranei	 50, AK1, ATCC 43341, ATCC BAA-91, ATCC:43341, BCCM/LMG:11258, CAIM 316, CAIM:316, CCUG 19040, CCUG:19040, CECT 621, CECT:621, CIP 103203, CIP 107136, CIP:103203, DSM 13773, DSM 13774, DSM 19502, IFO 15635, IFO:15635, LMG 11258, LMG 19703, LMG:11258, NBRC 15635, NBRC:15635, NCTC 11946, NCTC:11946	yes	yes
Olsenella congonensis	 CSUR P3359, Marseille-P3359	yes	no
Cohnella yongneupensis	 5YN10-14, DSM 18998, DSM:18998, KACC 11768, KACC:11768	yes	no
Proteus mirabilis	 ATCC 29906, ATCC:29906, BCCM/LMG:3257, CCUG 26767, CCUG:26767, CDC PR 14, CIP 103181, CIP:103181, DSM 4479, DSM:4479, DSMZ 4479, JCM 1669, JCM:1669, LMG 3257, LMG:3257, NCTC 11938, NCTC:11938	yes	yes
Pseudonocardia hierapolitana	 DSM 45671, DSM:45671, KCTC 29068, KCTC:29068, NRRL B-24879, NRRL:B:24879, PM2084	yes	no
Sphingomonas paucimobilis	 16, 16 [[Flavobacterium devorans]], ATCC 10829, ATCC 10829 [[Flavobacterium devorans]], ATCC 29837, ATCC 29837 [[Flavobacterium devorans]], ATCC:10829 [[Flavobacterium devorans]], ATCC:29837, BCCM/LMG:1227, BCCM/LMG:4017 [[Flavobacterium devorans]], CCM 72, CCM 72 [[Flavobacterium devorans]], CCUG 1819, CCUG 1819 [[Flavobacterium devorans]], CCUG 31192, CCUG 31192 [[Flavobacterium devorans]], CCUG 6518, CCUG 6518 [[Flavobacterium devorans]], CCUG:1819 [[Flavobacterium devorans]], CCUG:31192, CCUG:6518, CIP 100752, CIP 100752 [[Flavobacterium devorans]], CIP:100752, DSM 1098, DSM 1098 [[Flavobacterium devorans]], DSM 30198, DSM 30198 [[Flavobacterium devorans]], DSM:1098, DSM:30198 [[Flavobacterium devorans]], GIFU 2395, GIFU 2395 [[Flavobacterium devorans]], GIFU:2395, GIFU&lt;JPN&gt;:2395, HAMBI 1744, HAMBI 1744 [[Flavobacterium devorans]], HAMBI:1744, IFO 13935, IFO 13935 [[Flavobacterium devorans]], IFO:13935, JCM 7516, JCM 7516 [[Flavobacterium devorans]], JCM:7516, LMG 1227, LMG 1227 [[Flavobacterium devorans]], LMG 4017, LMG 4017 [[Flavobacterium devorans]], LMG:1227, LMG:4017 [[Flavobacterium devorans]], NBRC 13935, NBRC 13935 [[Flavobacterium devorans]], NBRC:13935, NCAIM B.01654, NCAIM B.01654 [[Flavobacterium devorans]], NCIB 8195, NCIB 8195 [[Flavobacterium devorans]], NCTC 11030, NCTC 11030 [[Flavobacterium devorans]], NCTC:11030, NRRL B-54, NRRL B-54 [[Flavobacterium devorans]], NRRL:B:54 [[Flavobacterium devorans]], VKM B-2241, VKM B-2241 [[Flavobacterium devorans]]	yes	yes
Catenuloplanes japonicus	 ATCC 31637, ATCC:31637, DSM 44102, DSM:44102, IFO 14176, IFO:14176, JCM 9106, JCM:9106, N381-16, NBRC 14176, NBRC:14176, VKM Ac-875, VKM:Ac:875	yes	yes
Rhodococcus nanhaiensis	 CCTCC AB 2011024, CCTCC:AB:2011024, DSM 45608, DSM:45608, SCSIO 10187, SCSIO:10187	yes	no
Hyella patelloides	 LEGE 07179, LEGE:07179	yes	no
Marinobacter zhejiangensis	 CGMCC 1.7061, CGMCC:1.7061, CN74, JCM 15156, JCM:15156	yes	yes
